context_sentence,e1,e2,gold_label,standard_prompting_input,BARD_0_SP_pred,BARD_5_SP_pred,GPT4_0_SP_pred,GPT4_5_SP_pred,GPT3.5_0_SP_pred,GPT3.5_5_SP_pred,CoT_prompting_input,BARD_0_CoTP_pred,BARD_5_CoTP_pred,GPT4_0_CoTP_pred,GPT4_5_CoTP_pred,GPT3.5_0_CoTP_pred,GPT3.5_5_CoTP_pred,SQ_prompting_input,BARD_0_SQP_pred,BARD_5_SQP_pred,GPT4_0_SQP_pred,GPT4_5_SQP_pred,GPT3.5_0_SQP_pred,GPT3.5_5_SQP_pred
Ethanol decreases the elimination of abacavir causing an increase in overall exposure . The addition of methadone has no clinically significant effect on the pharmacokinetic properties of abacavir.,Ethanol,abacavir,mechanism,"Given the context sentence {Ethanol decreases the elimination of abacavir causing an increase in overall exposure . The addition of methadone has no clinically significant effect on the pharmacokinetic properties of abacavir.}, identify the relationship between the pharmacological substances {Ethanol} and {abacavir} within the sentence. Specify which category the relationship falls under: Advice, Effect, Mechanism, or Int. The relationship between {Ethanol} and {abacavir} is categorized as {}.",effect,effect,effect,effect,effect,effect,"Given the context sentence {Ethanol decreases the elimination of abacavir causing an increase in overall exposure . The addition of methadone has no clinically significant effect on the pharmacokinetic properties of abacavir.}, identify the relationship between the pharmacological substances {Ethanol} and {abacavir} within the sentence. Analyze their interaction and classify the relationship under one of these categories: Advice, Effect, Mechanism, or Int. Consider whether the sentence advises on their use, describes their combined or counteracting effects, explains the interaction mechanism, or indicates an interaction with insufficient details. The relationship between {Ethanol} and {abacavir} is categorized as {}.",effect,effect,effect,effect,effect,effect,"Given the context sentence {Ethanol decreases the elimination of abacavir causing an increase in overall exposure . The addition of methadone has no clinically significant effect on the pharmacokinetic properties of abacavir.}, generate questions about the relationship between pharmacological substances {Ethanol} and {abacavir} within the sentence, covering their usage advice, combined or counteracting effects, and interaction mechanisms. Answer each question and then categorize the relationship between {Ethanol} and {abacavir} as Advice, Effect, Mechanism, or Int, based on the insights gained from the questions. The relationship between {Ethanol} and {abacavir} is categorized as {}.",effect,effect,effect,effect,effect,effect
The incremental LDL-C reduction due to adding ezetimibe to cholestyramine may be reduced by this interaction.,ezetimibe,cholestyramine,effect,"Given the context sentence {The incremental LDL-C reduction due to adding ezetimibe to cholestyramine may be reduced by this interaction.}, identify the relationship between the pharmacological substances {ezetimibe} and {cholestyramine} within the sentence. Specify which category the relationship falls under: Advice, Effect, Mechanism, or Int. The relationship between {ezetimibe} and {cholestyramine} is categorized as {}.",mechanism,effect,effect,effect,mechanism,mechanism,"Given the context sentence {The incremental LDL-C reduction due to adding ezetimibe to cholestyramine may be reduced by this interaction.}, identify the relationship between the pharmacological substances {ezetimibe} and {cholestyramine} within the sentence. Analyze their interaction and classify the relationship under one of these categories: Advice, Effect, Mechanism, or Int. Consider whether the sentence advises on their use, describes their combined or counteracting effects, explains the interaction mechanism, or indicates an interaction with insufficient details. The relationship between {ezetimibe} and {cholestyramine} is categorized as {}.",mechanism,mechanism,effect,effect,mechanism,mechanism,"Given the context sentence {The incremental LDL-C reduction due to adding ezetimibe to cholestyramine may be reduced by this interaction.}, generate questions about the relationship between pharmacological substances {ezetimibe} and {cholestyramine} within the sentence, covering their usage advice, combined or counteracting effects, and interaction mechanisms. Answer each question and then categorize the relationship between {ezetimibe} and {cholestyramine} as Advice, Effect, Mechanism, or Int, based on the insights gained from the questions. The relationship between {ezetimibe} and {cholestyramine} is categorized as {}.",effect,effect,effect,mechanism,effect,effect
Co-administration of ZETIA with fibrates is not recommended until use in patients is studied.,ZETIA,fibrates,advise,"Given the context sentence {Co-administration of ZETIA with fibrates is not recommended until use in patients is studied.}, identify the relationship between the pharmacological substances {ZETIA} and {fibrates} within the sentence. Specify which category the relationship falls under: Advice, Effect, Mechanism, or Int. The relationship between {ZETIA} and {fibrates} is categorized as {}.",advise,advise,advise,advise,advise,advise,"Given the context sentence {Co-administration of ZETIA with fibrates is not recommended until use in patients is studied.}, identify the relationship between the pharmacological substances {ZETIA} and {fibrates} within the sentence. Analyze their interaction and classify the relationship under one of these categories: Advice, Effect, Mechanism, or Int. Consider whether the sentence advises on their use, describes their combined or counteracting effects, explains the interaction mechanism, or indicates an interaction with insufficient details. The relationship between {ZETIA} and {fibrates} is categorized as {}.",advise,advise,advise,advise,advise,advise,"Given the context sentence {Co-administration of ZETIA with fibrates is not recommended until use in patients is studied.}, generate questions about the relationship between pharmacological substances {ZETIA} and {fibrates} within the sentence, covering their usage advice, combined or counteracting effects, and interaction mechanisms. Answer each question and then categorize the relationship between {ZETIA} and {fibrates} as Advice, Effect, Mechanism, or Int, based on the insights gained from the questions. The relationship between {ZETIA} and {fibrates} is categorized as {}.",advise,advise,advise,advise,advise,advise
"Short-acting Benzodiazepines: Following oral administration of midazolam, fluconazole resulted in substantial increases in midazolam concentrations and psychomotor effects.",midazolam,fluconazole,mechanism,"Given the context sentence {Short-acting Benzodiazepines: Following oral administration of midazolam, fluconazole resulted in substantial increases in midazolam concentrations and psychomotor effects.}, identify the relationship between the pharmacological substances {midazolam} and {fluconazole} within the sentence. Specify which category the relationship falls under: Advice, Effect, Mechanism, or Int. The relationship between {midazolam} and {fluconazole} is categorized as {}.",effect,effect,effect,effect,effect,effect,"Given the context sentence {Short-acting Benzodiazepines: Following oral administration of midazolam, fluconazole resulted in substantial increases in midazolam concentrations and psychomotor effects.}, identify the relationship between the pharmacological substances {midazolam} and {fluconazole} within the sentence. Analyze their interaction and classify the relationship under one of these categories: Advice, Effect, Mechanism, or Int. Consider whether the sentence advises on their use, describes their combined or counteracting effects, explains the interaction mechanism, or indicates an interaction with insufficient details. The relationship between {midazolam} and {fluconazole} is categorized as {}.",effect,effect,effect,effect,effect,effect,"Given the context sentence {Short-acting Benzodiazepines: Following oral administration of midazolam, fluconazole resulted in substantial increases in midazolam concentrations and psychomotor effects.}, generate questions about the relationship between pharmacological substances {midazolam} and {fluconazole} within the sentence, covering their usage advice, combined or counteracting effects, and interaction mechanisms. Answer each question and then categorize the relationship between {midazolam} and {fluconazole} as Advice, Effect, Mechanism, or Int, based on the insights gained from the questions. The relationship between {midazolam} and {fluconazole} is categorized as {}.",effect,effect,effect,effect,effect,effect
Careful monitoring of prothrombin time in patients receiving DIFLUCAN and coumarin-type anticoagulants is recommended.,DIFLUCAN,coumarin-type anticoagulants,advise,"Given the context sentence {Careful monitoring of prothrombin time in patients receiving DIFLUCAN and coumarin-type anticoagulants is recommended.}, identify the relationship between the pharmacological substances {DIFLUCAN} and {coumarin-type anticoagulants} within the sentence. Specify which category the relationship falls under: Advice, Effect, Mechanism, or Int. The relationship between {DIFLUCAN} and {coumarin-type anticoagulants} is categorized as {}.",effect,effect,advise,advise,effect,advise,"Given the context sentence {Careful monitoring of prothrombin time in patients receiving DIFLUCAN and coumarin-type anticoagulants is recommended.}, identify the relationship between the pharmacological substances {DIFLUCAN} and {coumarin-type anticoagulants} within the sentence. Analyze their interaction and classify the relationship under one of these categories: Advice, Effect, Mechanism, or Int. Consider whether the sentence advises on their use, describes their combined or counteracting effects, explains the interaction mechanism, or indicates an interaction with insufficient details. The relationship between {DIFLUCAN} and {coumarin-type anticoagulants} is categorized as {}.",effect,advise,advise,advise,int,mechanism,"Given the context sentence {Careful monitoring of prothrombin time in patients receiving DIFLUCAN and coumarin-type anticoagulants is recommended.}, generate questions about the relationship between pharmacological substances {DIFLUCAN} and {coumarin-type anticoagulants} within the sentence, covering their usage advice, combined or counteracting effects, and interaction mechanisms. Answer each question and then categorize the relationship between {DIFLUCAN} and {coumarin-type anticoagulants} as Advice, Effect, Mechanism, or Int, based on the insights gained from the questions. The relationship between {DIFLUCAN} and {coumarin-type anticoagulants} is categorized as {}.",advise,advise,advise,advise,advise,advise
"The action of Mecamylamine may be potentiated by anesthesia, other antihypertensive drugs and alcohol.",Mecamylamine,alcohol,effect,"Given the context sentence {The action of Mecamylamine may be potentiated by anesthesia, other antihypertensive drugs and alcohol.}, identify the relationship between the pharmacological substances {Mecamylamine} and {alcohol} within the sentence. Specify which category the relationship falls under: Advice, Effect, Mechanism, or Int. The relationship between {Mecamylamine} and {alcohol} is categorized as {}.",effect,effect,effect,effect,effect,effect,"Given the context sentence {The action of Mecamylamine may be potentiated by anesthesia, other antihypertensive drugs and alcohol.}, identify the relationship between the pharmacological substances {Mecamylamine} and {alcohol} within the sentence. Analyze their interaction and classify the relationship under one of these categories: Advice, Effect, Mechanism, or Int. Consider whether the sentence advises on their use, describes their combined or counteracting effects, explains the interaction mechanism, or indicates an interaction with insufficient details. The relationship between {Mecamylamine} and {alcohol} is categorized as {}.",effect,effect,effect,effect,effect,effect,"Given the context sentence {The action of Mecamylamine may be potentiated by anesthesia, other antihypertensive drugs and alcohol.}, generate questions about the relationship between pharmacological substances {Mecamylamine} and {alcohol} within the sentence, covering their usage advice, combined or counteracting effects, and interaction mechanisms. Answer each question and then categorize the relationship between {Mecamylamine} and {alcohol} as Advice, Effect, Mechanism, or Int, based on the insights gained from the questions. The relationship between {Mecamylamine} and {alcohol} is categorized as {}.",effect,effect,effect,effect,effect,effect
This interaction should be given consideration in patients taking NSAIDs concomitantly with ACE inhibitors.,NSAIDs,ACE inhibitors,advise,"Given the context sentence {This interaction should be given consideration in patients taking NSAIDs concomitantly with ACE inhibitors.}, identify the relationship between the pharmacological substances {NSAIDs} and {ACE inhibitors} within the sentence. Specify which category the relationship falls under: Advice, Effect, Mechanism, or Int. The relationship between {NSAIDs} and {ACE inhibitors} is categorized as {}.",advise,advise,advise,advise,mechanism,advise,"Given the context sentence {This interaction should be given consideration in patients taking NSAIDs concomitantly with ACE inhibitors.}, identify the relationship between the pharmacological substances {NSAIDs} and {ACE inhibitors} within the sentence. Analyze their interaction and classify the relationship under one of these categories: Advice, Effect, Mechanism, or Int. Consider whether the sentence advises on their use, describes their combined or counteracting effects, explains the interaction mechanism, or indicates an interaction with insufficient details. The relationship between {NSAIDs} and {ACE inhibitors} is categorized as {}.",advise,advise,advise,advise,int,advise,"Given the context sentence {This interaction should be given consideration in patients taking NSAIDs concomitantly with ACE inhibitors.}, generate questions about the relationship between pharmacological substances {NSAIDs} and {ACE inhibitors} within the sentence, covering their usage advice, combined or counteracting effects, and interaction mechanisms. Answer each question and then categorize the relationship between {NSAIDs} and {ACE inhibitors} as Advice, Effect, Mechanism, or Int, based on the insights gained from the questions. The relationship between {NSAIDs} and {ACE inhibitors} is categorized as {}.",advise,advise,advise,advise,advise,advise
Impaired renal function has been described in bone marrow transplant patients who were conditioned with high-dose intravenous melphalan and who subsequently received cyclosporin to prevent graft-versus-host disease,melphalan,cyclosporin,effect,"Given the context sentence {Impaired renal function has been described in bone marrow transplant patients who were conditioned with high-dose intravenous melphalan and who subsequently received cyclosporin to prevent graft-versus-host disease}, identify the relationship between the pharmacological substances {melphalan} and {cyclosporin} within the sentence. Specify which category the relationship falls under: Advice, Effect, Mechanism, or Int. The relationship between {melphalan} and {cyclosporin} is categorized as {}.",effect,effect,effect,effect,effect,effect,"Given the context sentence {Impaired renal function has been described in bone marrow transplant patients who were conditioned with high-dose intravenous melphalan and who subsequently received cyclosporin to prevent graft-versus-host disease}, identify the relationship between the pharmacological substances {melphalan} and {cyclosporin} within the sentence. Analyze their interaction and classify the relationship under one of these categories: Advice, Effect, Mechanism, or Int. Consider whether the sentence advises on their use, describes their combined or counteracting effects, explains the interaction mechanism, or indicates an interaction with insufficient details. The relationship between {melphalan} and {cyclosporin} is categorized as {}.",effect,effect,effect,effect,effect,effect,"Given the context sentence {Impaired renal function has been described in bone marrow transplant patients who were conditioned with high-dose intravenous melphalan and who subsequently received cyclosporin to prevent graft-versus-host disease}, generate questions about the relationship between pharmacological substances {melphalan} and {cyclosporin} within the sentence, covering their usage advice, combined or counteracting effects, and interaction mechanisms. Answer each question and then categorize the relationship between {melphalan} and {cyclosporin} as Advice, Effect, Mechanism, or Int, based on the insights gained from the questions. The relationship between {melphalan} and {cyclosporin} is categorized as {}.",effect,effect,effect,effect,effect,effect
"SKELAXIN may enhance the effects of alcohol, barbiturates and other CNS depressants.",SKELAXIN,barbiturates,effect,"Given the context sentence {SKELAXIN may enhance the effects of alcohol, barbiturates and other CNS depressants.}, identify the relationship between the pharmacological substances {SKELAXIN} and {barbiturates} within the sentence. Specify which category the relationship falls under: Advice, Effect, Mechanism, or Int. The relationship between {SKELAXIN} and {barbiturates} is categorized as {}.",effect,effect,effect,effect,effect,effect,"Given the context sentence {SKELAXIN may enhance the effects of alcohol, barbiturates and other CNS depressants.}, identify the relationship between the pharmacological substances {SKELAXIN} and {barbiturates} within the sentence. Analyze their interaction and classify the relationship under one of these categories: Advice, Effect, Mechanism, or Int. Consider whether the sentence advises on their use, describes their combined or counteracting effects, explains the interaction mechanism, or indicates an interaction with insufficient details. The relationship between {SKELAXIN} and {barbiturates} is categorized as {}.",effect,effect,effect,effect,effect,effect,"Given the context sentence {SKELAXIN may enhance the effects of alcohol, barbiturates and other CNS depressants.}, generate questions about the relationship between pharmacological substances {SKELAXIN} and {barbiturates} within the sentence, covering their usage advice, combined or counteracting effects, and interaction mechanisms. Answer each question and then categorize the relationship between {SKELAXIN} and {barbiturates} as Advice, Effect, Mechanism, or Int, based on the insights gained from the questions. The relationship between {SKELAXIN} and {barbiturates} is categorized as {}.",effect,effect,effect,effect,effect,effect
"Oral metronidazole has been reported to potentiate the anticoagulant effect of coumarin and warfarin, resulting in a prolongation of prothrombin time.",metronidazole,coumarin,effect,"Given the context sentence {Oral metronidazole has been reported to potentiate the anticoagulant effect of coumarin and warfarin, resulting in a prolongation of prothrombin time.}, identify the relationship between the pharmacological substances {metronidazole} and {coumarin} within the sentence. Specify which category the relationship falls under: Advice, Effect, Mechanism, or Int. The relationship between {metronidazole} and {coumarin} is categorized as {}.",effect,effect,effect,effect,mechanism,effect,"Given the context sentence {Oral metronidazole has been reported to potentiate the anticoagulant effect of coumarin and warfarin, resulting in a prolongation of prothrombin time.}, identify the relationship between the pharmacological substances {metronidazole} and {coumarin} within the sentence. Analyze their interaction and classify the relationship under one of these categories: Advice, Effect, Mechanism, or Int. Consider whether the sentence advises on their use, describes their combined or counteracting effects, explains the interaction mechanism, or indicates an interaction with insufficient details. The relationship between {metronidazole} and {coumarin} is categorized as {}.",effect,effect,effect,mechanism,mechanism,effect,"Given the context sentence {Oral metronidazole has been reported to potentiate the anticoagulant effect of coumarin and warfarin, resulting in a prolongation of prothrombin time.}, generate questions about the relationship between pharmacological substances {metronidazole} and {coumarin} within the sentence, covering their usage advice, combined or counteracting effects, and interaction mechanisms. Answer each question and then categorize the relationship between {metronidazole} and {coumarin} as Advice, Effect, Mechanism, or Int, based on the insights gained from the questions. The relationship between {metronidazole} and {coumarin} is categorized as {}.",effect,effect,effect,effect,mechanism,effect
